Username;VowelRatio;ShannonEntropy;length;specialCharRatio;isBot
Ellis Gorczany;0,2857;3,6645;14;0,0714;FALSE
Alex Simonis;0,4167;3,2516;12;0,0833;FALSE
Hermann Heaney;0,3571;2,8424;14;0,0714;FALSE
Kenneth Schneider;0,2941;3,2195;17;0,0588;FALSE
Domenic Russel;0,3571;3,5216;14;0,0714;FALSE
Cody Bogisich;0,3077;3,2389;13;0,0769;FALSE
Travon Conn;0,2727;2,8454;11;0,0909;FALSE
Sadye Gulgowski;0,3333;3,6402;15;0,0667;FALSE
Chance Hauck;0,3333;2,8554;12;0,0833;FALSE
Arely Huels;0,3636;3,0958;11;0,0909;FALSE
Jennifer Dibbert;0,3125;3,2028;16;0,0625;FALSE
trtqtkbhz;0;2,6416;9;0;TRUE
dv;0;1;2;0;TRUE
in;0,5;1;2;0;TRUE
Dortha Hackett;0,2857;3,182;14;0,0714;FALSE
Stephany Kiehn;0,2857;3,3788;14;0,0714;FALSE
Russel Ward;0,2727;3,0958;11;0,0909;FALSE
 gsrfjmnaco;0,1818;3,4594;11;0,0909;TRUE
Jordi Corwin;0,3333;3,085;12;0,0833;FALSE
Amara Mraz;0,4;2,1219;10;0,1;FALSE
xdqsgnf;0;2,8074;7;0;TRUE
Eleonore Kertzmann;0,3889;3,2391;18;0,0556;FALSE
Sophia Haag;0,4545;2,8454;11;0,0909;FALSE
Quinn Huels;0,3636;3,0958;11;0,0909;FALSE
mpa ebk;0,2857;2,8074;7;0,1429;TRUE
Sarina Jakubowski;0,4118;3,4548;17;0,0588;FALSE
gaiutergb;0,4444;2,9477;9;0;TRUE
Ally Satterfield;0,3125;3,3278;16;0,0625;FALSE
lkruevjdcql;0,1818;3,2776;11;0;TRUE
smmy;0;1,5;4;0;TRUE
Hoyt Klein;0,3;3,3219;10;0,1;FALSE
trxxcv;0;2,2516;6;0;TRUE
nyc ollu xd;0,1818;3,0958;11;0,1818;TRUE
osnsxuh;0,2857;2,5216;7;0;TRUE
mr;0;1;2;0;TRUE
Thalia Zemlak;0,3846;3,1808;13;0,0769;FALSE
Victoria Marquardt;0,3889;3,4194;18;0,0556;FALSE
jxydf;0;2,3219;5;0;TRUE
qd;0;1;2;0;TRUE
nbpmxjhnj;0;2,7255;9;0;TRUE
gj;0;1;2;0;TRUE
fg;0;1;2;0;TRUE
 uplqtunrho;0,2727;3,2776;11;0,0909;TRUE
gsschyndga;0,1;2,9219;10;0;TRUE
Ada O'Connell;0,3846;3,0851;13;0,1538;FALSE
debe mejyq;0,3;2,8464;10;0,1;TRUE
Lily Goyette;0,3333;2,9183;12;0,0833;FALSE
Lois Hermann;0,3333;3,4183;12;0,0833;FALSE
czjlvbq;0;2,8074;7;0;TRUE
Clementine Emmerich;0,3684;3,0708;19;0,0526;FALSE
Estel Barrows;0,3077;3,2389;13;0,0769;FALSE
Athena Hudson;0,3846;3,2389;13;0,0769;FALSE
rdglbysdjdk;0;3,0272;11;0;TRUE
tta;0,3333;0,9183;3;0;TRUE
frc;0;1,585;3;0;TRUE
Linnea Williamson;0,4118;3,1307;17;0,0588;FALSE
Rollin Bednar;0,3077;3,2389;13;0,0769;FALSE
Courtney Auer;0,4615;3,2389;13;0,0769;FALSE
Jackie Von;0,4;3,3219;10;0,1;FALSE
Rosamond Wilkinson;0,3333;3,4194;18;0,0556;FALSE
Kenton Kautzer;0,3571;3,2359;14;0,0714;FALSE
Lilla Daugherty;0,3333;3,4566;15;0,0667;FALSE
brjehraf;0,25;2,75;8;0;TRUE
ax;0,5;1;2;0;TRUE
vnsqaaf;0,2857;2,5216;7;0;TRUE
uxguhsgpfq;0,2;2,9219;10;0;TRUE
Eliane Balistreri;0,4706;3,1751;17;0,0588;FALSE
Winifred Stoltenberg;0,3;3,6842;20;0,05;FALSE
Kraig Weissnat;0,3571;3,3788;14;0,0714;FALSE
bgnfv;0;2,3219;5;0;TRUE
unp;0,3333;1,585;3;0;TRUE
czckkcosmez;0,1818;2,6635;11;0;TRUE
q sp;0;2;4;0,25;TRUE
Hyman Murray;0,25;2,9183;12;0,0833;FALSE
yviahs;0,3333;2,585;6;0;TRUE
gdungqpspe;0,2;2,9219;10;0;TRUE
srxkk be;0,125;2,75;8;0,125;TRUE
Jane Weber;0,4;2,8464;10;0,1;FALSE
tlkvb;0;2,3219;5;0;TRUE
Myra Conroy;0,2727;2,914;11;0,0909;FALSE
Hubert VonRueden;0,375;3,3278;16;0,0625;FALSE
Yasmine Boehm;0,3846;3,3927;13;0,0769;FALSE
dhazvg;0,1667;2,585;6;0;TRUE
Elizabeth Dooley;0,4375;3,4528;16;0,0625;FALSE
Ashton Heathcote;0,375;3,0306;16;0,0625;FALSE
cizxenv;0,2857;2,8074;7;0;TRUE
Victor Kirlin;0,3077;3,1808;13;0,0769;FALSE
rvczbqnc;0;2,75;8;0;TRUE
ym;0;1;2;0;TRUE
Devin Greenfelder;0,3529;3,0516;17;0,0588;FALSE
olpsos;0,3333;1,9183;6;0;TRUE
Erling Gislason;0,3333;3,2402;15;0,0667;FALSE
Katharina Schuster;0,3333;3,4613;18;0,0556;FALSE
f eetsf;0,2857;2,2359;7;0,1429;TRUE
Freddie Hegmann;0,3333;3,3232;15;0,0667;FALSE
Israel Feil;0,4545;2,914;11;0,0909;FALSE
ypxhvrf;0;2,8074;7;0;TRUE
ndjvdufhe;0,2222;2,9477;9;0;TRUE
dtqq;0;1,5;4;0;TRUE
shdbsdmpo;0,1111;2,7255;9;0;TRUE
rupmn;0,2;2,3219;5;0;TRUE
tiugovgca;0,4444;2,9477;9;0;TRUE
g omnx;0,1667;2,585;6;0,1667;TRUE
Bella Pagac;0,3636;2,8454;11;0,0909;FALSE
Reyes Hermiston;0,3333;3,3232;15;0,0667;FALSE
fjuop;0,4;2,3219;5;0;TRUE
jjtoyjrpvl;0,1;2,8464;10;0;TRUE
qxzsdkz;0;2,5216;7;0;TRUE
Orville Schuster;0,3125;3,5;16;0,0625;FALSE
Dena Ruecker;0,4167;3,0221;12;0,0833;FALSE
Lester McKenzie;0,3333;3,3736;15;0,0667;FALSE
Dalton Stoltenberg;0,2778;3,4613;18;0,0556;FALSE
Raoul Wyman;0,3636;3,2776;11;0,0909;FALSE
iyscn geeq;0,3;3,1219;10;0,1;TRUE
Elda Wyman;0,3;3,1219;10;0,1;FALSE
ovycc;0,2;1,9219;5;0;TRUE
ja;0,5;1;2;0;TRUE
dh yiocvhfg;0,1818;3,2776;11;0,0909;TRUE
xvtazcsa t;0,2;2,9219;10;0,1;TRUE
yqrzs prh n;0;3,0958;11;0,1818;TRUE
Deonte Hyatt;0,3333;3,0221;12;0,0833;FALSE
Nova Wyman;0,3;2,9219;10;0,1;FALSE
qydg;0;2;4;0;TRUE
dxxs xx;0;1,6645;7;0,1429;TRUE
asqr;0,25;2;4;0;TRUE
Ebony Roberts;0,3077;3,0851;13;0,0769;FALSE
Rosetta Klein;0,3846;3,3927;13;0,0769;FALSE
oy;0,5;1;2;0;TRUE
xjl;0;1,585;3;0;TRUE
 rssdx;0;2,2516;6;0,1667;TRUE
Elmer Pagac;0,3636;3,0958;11;0,0909;FALSE
czeicnknp;0,2222;2,7255;9;0;TRUE
Dayana Daniel;0,4615;2,7774;13;0,0769;FALSE
dmnx;0;2;4;0;TRUE
xnqqeee ivb;0,3636;2,8454;11;0,0909;TRUE
zppbqut;0,1429;2,5216;7;0;TRUE
y jpm;0;2,3219;5;0,2;TRUE
Ansley Davis;0,3333;3,2516;12;0,0833;FALSE
udaxyylue;0,4444;2,7255;9;0;TRUE
Guillermo Keebler;0,4118;3,2195;17;0,0588;FALSE
idgf txc;0,125;3;8;0,125;TRUE
Bette Luettgen;0,3571;2,6645;14;0,0714;FALSE
Noe Quigley;0,4545;3,2776;11;0,0909;FALSE
ubm;0,3333;1,585;3;0;TRUE
orsivkbcs;0,2222;2,9477;9;0;TRUE
qhp qvrejs;0,1;3,1219;10;0,1;TRUE
xxudiekdqbu;0,3636;2,914;11;0;TRUE
Melyssa Friesen;0,3333;3,2729;15;0,0667;FALSE
gapfoh mv;0,2222;3,1699;9;0,1111;TRUE
Laverne Gerlach;0,3333;3,1899;15;0,0667;FALSE
Marcia Murphy;0,3077;3,2389;13;0,0769;FALSE
Dedrick Wolff;0,2308;3,3927;13;0,0769;FALSE
Santos Jones;0,3333;2,8554;12;0,0833;FALSE
Summer Hegmann;0,2857;3,182;14;0,0714;FALSE
tqmlh;0;2,3219;5;0;TRUE
Dillan Hoppe;0,3333;3,2516;12;0,0833;FALSE
Jayce Wisoky;0,3333;3,4183;12;0,0833;FALSE
uroanroqvb;0,4;2,9219;10;0;TRUE
Oswald Koss;0,2727;2,8454;11;0,0909;FALSE
xfkrek;0,1667;2,2516;6;0;TRUE
ncqcx qjial;0,1818;3,0958;11;0,0909;TRUE
Reid Klocko;0,3636;3,0958;11;0,0909;FALSE
lnrpjc;0;2,585;6;0;TRUE
Kallie Mayert;0,3846;3,2389;13;0,0769;FALSE
vbrrl;0;1,9219;5;0;TRUE
bimdh;0,2;2,3219;5;0;TRUE
hlur;0,25;2;4;0;TRUE
Delbert Rodriguez;0,3529;3,4104;17;0,0588;FALSE
Leora Jenkins;0,3846;3,3927;13;0,0769;FALSE
foro;0,5;1,5;4;0;TRUE
qylgbquo;0,25;2,75;8;0;TRUE
Angela Koelpin;0,4286;3,2359;14;0,0714;FALSE
Camryn Raynor;0,2308;2,8731;13;0,0769;FALSE
ex;0,5;1;2;0;TRUE
Darrin Kuhlman;0,2857;3,3788;14;0,0714;FALSE
ba kjkx;0,1429;2,5216;7;0,1429;TRUE
nzhuszq;0,1429;2,5216;7;0;TRUE
Arvilla Gleason;0,4;3,2729;15;0,0667;FALSE
Cara Stehr;0,3;2,9219;10;0,1;FALSE
jj qtggni;0,1111;2,7255;9;0,1111;TRUE
olcxm;0,2;2,3219;5;0;TRUE
Catherine Strosin;0,3529;3,3816;17;0,0588;FALSE
gnlikp;0,1667;2,585;6;0;TRUE
Arturo Bernhard;0,3333;3,2402;15;0,0667;FALSE
qfjcixxo;0,25;2,75;8;0;TRUE
y g;0;1,585;3;0,3333;TRUE
bksrdsz;0;2,5216;7;0;TRUE
Alessia Walker;0,4286;3,0391;14;0,0714;FALSE
Benedict Douglas;0,375;3,75;16;0,0625;FALSE
Eula Runolfsson;0,4;3,2402;15;0,0667;FALSE
Daren Koss;0,3;3,1219;10;0,1;FALSE
Cory D'Amore;0,3333;3,2516;12;0,1667;FALSE
Marcel Schowalter;0,2941;3,4992;17;0,0588;FALSE
Nakia Rosenbaum;0,4667;3,4566;15;0,0667;FALSE
ep;0,5;1;2;0;TRUE
Katelin Hilll;0,3077;2,9312;13;0,0769;FALSE
Vickie Bayer;0,4167;3,2516;12;0,0833;FALSE
Ayden Dicki;0,3636;3,0958;11;0,0909;FALSE
pf;0;1;2;0;TRUE
Stacey Schumm;0,2308;3,2389;13;0,0769;FALSE
 d;0;1;2;0,5;TRUE
xfurea;0,5;2,585;6;0;TRUE
Rafael Gleason;0,4286;3,182;14;0,0714;FALSE
Kayleigh Terry;0,2857;3,3788;14;0,0714;FALSE
 atgqszr ;0,1111;2,9477;9;0,2222;TRUE
Jeremy Weber;0,3333;2,7516;12;0,0833;FALSE
Christian Carter;0,3125;3,2028;16;0,0625;FALSE
uzlpd;0,2;2,3219;5;0;TRUE
Orlo Wuckert;0,3333;3,2516;12;0,0833;FALSE
Vern Sipes;0,3;2,9219;10;0,1;FALSE
vf;0;1;2;0;TRUE
Celestino Lehner;0,375;3,25;16;0,0625;FALSE
x r;0;1,585;3;0,3333;TRUE
Deon Huel;0,4444;2,9477;9;0,1111;FALSE
ytg;0;1,585;3;0;TRUE
nljst;0;2,3219;5;0;TRUE
deoizruymqj;0,3636;3,4594;11;0;TRUE
Tyree Gulgowski;0,3333;3,6402;15;0,0667;FALSE
habxsckpz;0,1111;3,1699;9;0;TRUE
Grant Feil;0,3;3,3219;10;0,1;FALSE
Hazel Johnston;0,2857;3,3788;14;0,0714;FALSE
Giuseppe Crist;0,3571;3,2359;14;0,0714;FALSE
azjtny;0,1667;2,585;6;0;TRUE
km;0;1;2;0;TRUE
nofqlpf;0,1429;2,5216;7;0;TRUE
qjapyof;0,2857;2,8074;7;0;TRUE
zzj fbh m;0;2,7255;9;0,2222;TRUE
Blair Tillman;0,3077;3,027;13;0,0769;FALSE
ey;0,5;1;2;0;TRUE
hxpjsvsuqo;0,2;3,1219;10;0;TRUE
rqlxg;0;2,3219;5;0;TRUE
Aiden Marquardt;0,4;3,3232;15;0,0667;FALSE
Bria McCullough;0,3333;3,5069;15;0,0667;FALSE
Arely Rohan;0,3636;3,0958;11;0,0909;FALSE
snva;0,25;2;4;0;TRUE
Marcel Waelchi;0,3571;3,2359;14;0,0714;FALSE
vnvvp;0;1,371;5;0;TRUE
Ariane Homenick;0,4667;3,3736;15;0,0667;FALSE
fib ;0,25;2;4;0,25;TRUE
Angus Auer;0,5;2,9219;10;0,1;FALSE
df;0;1;2;0;TRUE
William Morissette;0,3889;3,3502;18;0,0556;FALSE
Joshuah Abbott;0,3571;3,0931;14;0,0714;FALSE
 kuu ;0,4;1,5219;5;0,4;TRUE
ng;0;1;2;0;TRUE
zxhvyic;0,1429;2,8074;7;0;TRUE
Percy Stark;0,1818;3,2776;11;0,0909;FALSE
Gregory Mraz;0,25;3,0221;12;0,0833;FALSE
Ellis McGlynn;0,1538;3,1808;13;0,0769;FALSE
mylbpsgpl;0;2,7255;9;0;TRUE
Duane Russel;0,4167;3,085;12;0,0833;FALSE
dfvnzdzdl;0;2,4194;9;0;TRUE
fo o;0,5;1,5;4;0,25;TRUE
Daniella Kihn;0,3846;3,0851;13;0,0769;FALSE
umfqbcl;0,1429;2,8074;7;0;TRUE
Charley Swift;0,2308;3,7004;13;0,0769;FALSE
qnr;0;1,585;3;0;TRUE
Wilford Runolfsson;0,2778;3,3502;18;0,0556;FALSE
ubjpsuoa;0,5;2,75;8;0;TRUE
fpkao bi jh;0,2727;3,2776;11;0,1818;TRUE
Jasmin Ruecker;0,3571;3,5216;14;0,0714;FALSE
kirym mvag;0,2;3,1219;10;0,1;TRUE
Arvid Dickinson;0,3333;3,3232;15;0,0667;FALSE
Hank Kling;0,2;2,9219;10;0,1;FALSE
Leta Zieme;0,5;2,8464;10;0,1;FALSE
tdbkntz;0;2,5216;7;0;TRUE
Paul Yost;0,3333;3,1699;9;0,1111;FALSE
Alene Yost;0,4;3,1219;10;0,1;FALSE
rehucsrst;0,2222;2,7255;9;0;TRUE
qpmsgyjuu;0,2222;2,9477;9;0;TRUE
Yvonne Hyatt;0,25;3,085;12;0,0833;FALSE
Armand Anderson;0,3333;3,0062;15;0,0667;FALSE
Lizzie Reinger;0,4286;2,8424;14;0,0714;FALSE
Stephen Ziemann;0,3333;3,2729;15;0,0667;FALSE
cbksddmd;0;2,4056;8;0;TRUE
fzlfv;0;1,9219;5;0;TRUE
Macie Nienow;0,5;3,085;12;0,0833;FALSE
Leopoldo Hermiston;0,3889;3,5033;18;0,0556;FALSE
Norbert Moore;0,3846;2,8151;13;0,0769;FALSE
zpo;0,3333;1,585;3;0;TRUE
ygvbe;0,2;2,3219;5;0;TRUE
xvvalamc ;0,2222;2,7255;9;0,1111;TRUE
uoxghz;0,3333;2,585;6;0;TRUE
Albertha Reynolds;0,2941;3,6169;17;0,0588;FALSE
sqshse ;0,1429;2,1281;7;0,1429;TRUE
 lb;0;1,585;3;0,3333;TRUE
Trey Altenwerth;0,2667;3,1396;15;0,0667;FALSE
Roxane Renner;0,3846;2,6032;13;0,0769;FALSE
ehvib;0,4;2,3219;5;0;TRUE
xn;0;1;2;0;TRUE
Haleigh Kuvalis;0,4;3,3736;15;0,0667;FALSE
feh;0,3333;1,585;3;0;TRUE
ut;0,5;1;2;0;TRUE
Nash Strosin;0,25;3,0221;12;0,0833;FALSE
vhcdnqvoj;0,1111;2,9477;9;0;TRUE
Alphonso Hessel;0,3333;3,0566;15;0,0667;FALSE
bzb;0;0,9183;3;0;TRUE
Zora Reichel;0,4167;3,2516;12;0,0833;FALSE
crqqdkiqt;0,1111;2,6416;9;0;TRUE
t pkizz;0,1429;2,5216;7;0,1429;TRUE
zkhpvz;0;2,2516;6;0;TRUE
ezjq;0,25;2;4;0;TRUE
jerhjplv ;0,1111;2,9477;9;0,1111;TRUE
uhcs ;0,2;2,3219;5;0,2;TRUE
Jaylan Nienow;0,3846;3,1808;13;0,0769;FALSE
Grayson Bartell;0,2667;3,5069;15;0,0667;FALSE
fflsiazkc;0,2222;2,9477;9;0;TRUE
Aimee Hilpert;0,4615;3,1808;13;0,0769;FALSE
uyyb;0,25;1,5;4;0;TRUE
c aayaxde;0,4444;2,6416;9;0,1111;TRUE
hdgdxqckj;0;2,9477;9;0;TRUE
Thelma Christiansen;0,3158;3,5111;19;0,0526;FALSE
Stan Little;0,2727;2,8454;11;0,0909;FALSE
vxpv;0;1,5;4;0;TRUE
Gunner Roberts;0,2857;3,182;14;0,0714;FALSE
Kylee Hagenes;0,3846;3,0851;13;0,0769;FALSE
Elinor Kunde;0,4167;3,2516;12;0,0833;FALSE
Oliver Shields;0,3571;3,2359;14;0,0714;FALSE
Willow McCullough;0,2941;3,1463;17;0,0588;FALSE
Adrianna Turner;0,4;2,9559;15;0,0667;FALSE
Amos Pouros;0,4545;2,8454;11;0,0909;FALSE
rnouv;0,4;2,3219;5;0;TRUE
Adrienne Larkin;0,4;3,0566;15;0,0667;FALSE
tpfmjvcy;0;3;8;0;TRUE
zrqza ;0,1667;2,2516;6;0,1667;TRUE
Kara Nikolaus;0,4615;3,1808;13;0,0769;FALSE
Aracely Huels;0,3846;3,2389;13;0,0769;FALSE
 l;0;1;2;0,5;TRUE
Casey Bradtke;0,3077;3,3927;13;0,0769;FALSE
zznm frsafh;0,0909;3,0958;11;0,0909;TRUE
Lorenza Hackett;0,3333;3,5069;15;0,0667;FALSE
lzpve;0,2;2,3219;5;0;TRUE
Lila Gutmann;0,3333;3,085;12;0,0833;FALSE
lcirli;0,3333;1,9183;6;0;TRUE
fsmrvuseoxy;0,2727;3,2776;11;0;TRUE
Arnoldo Gutkowski;0,3529;3,6901;17;0,0588;FALSE
Vernon Haley;0,3333;3,2516;12;0,0833;FALSE
qolf cqb of;0,1818;2,7322;11;0,1818;TRUE
hafgcvty;0,125;3;8;0;TRUE
Micah Blanda;0,3333;3,1887;12;0,0833;FALSE
Archibald Hickle;0,3125;3,375;16;0,0625;FALSE
horzdqepzue;0,3636;3,0958;11;0;TRUE
Birdie Auer;0,5455;2,914;11;0,0909;FALSE
pm;0;1;2;0;TRUE
Brenda White;0,3333;3,4183;12;0,0833;FALSE
Therese Hayes;0,3846;2,7774;13;0,0769;FALSE
Flavio Beahan;0,4615;3,3347;13;0,0769;FALSE
osbphkdo;0,25;2,75;8;0;TRUE
dyhuko;0,3333;2,585;6;0;TRUE
Karlie Adams;0,4167;3,1887;12;0,0833;FALSE
Esteban Wyman;0,3077;3,2389;13;0,0769;FALSE
jh tcq;0;2,585;6;0,1667;TRUE
Alena O'Keefe;0,5385;2,9312;13;0,1538;FALSE
t uo;0,5;2;4;0,25;TRUE
vpfcvuhfop;0,2;2,7219;10;0;TRUE
Moses Padberg;0,3077;3,3927;13;0,0769;FALSE
Floy Yundt;0,2;3,1219;10;0,1;FALSE
Marcelo Fahey;0,3846;3,3927;13;0,0769;FALSE
tynrovoafvy;0,2727;2,914;11;0;TRUE
Earnest Jacobs;0,3571;3,3788;14;0,0714;FALSE
Nayeli Ebert;0,4167;3,1887;12;0,0833;FALSE
German West;0,2727;3,2776;11;0,0909;FALSE
Sunny Abernathy;0,2667;3,3232;15;0,0667;FALSE
Steve Herman;0,3333;3,1887;12;0,0833;FALSE
lnpbf;0;2,3219;5;0;TRUE
hfo;0,3333;1,585;3;0;TRUE
Chesley Hilll;0,2308;2,7774;13;0,0769;FALSE
Dawson Lang;0,2727;3,0958;11;0,0909;FALSE
German Reinger;0,3571;2,8424;14;0,0714;FALSE
Deon Fisher;0,3636;3,2776;11;0,0909;FALSE
red;0,3333;1,585;3;0;TRUE
 kujrllid;0,2222;2,9477;9;0,1111;TRUE
nqknqby;0;2,2359;7;0;TRUE
bfjokxi;0,2857;2,8074;7;0;TRUE
Eula Veum;0,5556;2,7255;9;0,1111;FALSE
Trisha Walker;0,3077;3,3927;13;0,0769;FALSE
Stephany Herzog;0,2667;3,6402;15;0,0667;FALSE
yzzblf c;0;2,75;8;0,125;TRUE
Dianna Prohaska;0,4;3,2402;15;0,0667;FALSE
nfbjezrtb;0,1111;2,9477;9;0;TRUE
lmiz;0,25;2;4;0;TRUE
lqpaoungp;0,3333;2,9477;9;0;TRUE
Ena Doyle;0,4444;2,9477;9;0,1111;FALSE
Mireya Carroll;0,3571;3,182;14;0,0714;FALSE
dfefsnuqkjg;0,1818;3,2776;11;0;TRUE
Rodrick Pacocha;0,3333;3,1899;15;0,0667;FALSE
rnaueq;0,5;2,585;6;0;TRUE
gsdjt;0;2,3219;5;0;TRUE
Jason Gibson;0,3333;3,085;12;0,0833;FALSE
xqbabhkpouf;0,2727;3,2776;11;0;TRUE
Sheldon Gleason;0,3333;3,2402;15;0,0667;FALSE
Reid Fahey;0,4;3,1219;10;0,1;FALSE
vnpt gc;0;2,8074;7;0,1429;TRUE
Delphia Cruickshank;0,3158;3,7216;19;0,0526;FALSE
Tiffany Lynch;0,1538;3,2389;13;0,0769;FALSE
Adaline Little;0,4286;2,8963;14;0,0714;FALSE
rdojonxla;0,3333;2,9477;9;0;TRUE
napuqqqsymk;0,1818;3,0272;11;0;TRUE
Monte Quitzon;0,3846;3,2389;13;0,0769;FALSE
Dante Cronin;0,3333;3,1887;12;0,0833;FALSE
Fabian Dibbert;0,3571;3,182;14;0,0714;FALSE
ncth;0;2;4;0;TRUE
Haylee Konopelski;0,4118;3,4548;17;0,0588;FALSE
Giovanny Johnson;0,3125;3,2028;16;0,0625;FALSE
Morris Runolfsdottir;0,3;3,3842;20;0,05;FALSE
otynlarp;0,25;3;8;0;TRUE
Casandra Goyette;0,375;3,4528;16;0,0625;FALSE
Kenneth Rogahn;0,2857;3,182;14;0,0714;FALSE
noujakxtyb;0,3;3,3219;10;0;TRUE
qoo v;0,4;1,9219;5;0,2;TRUE
khcmueyx ;0,2222;3,1699;9;0,1111;TRUE
cexysgtdo;0,2222;3,1699;9;0;TRUE
yfr;0;1,585;3;0;TRUE
qzrzcpdj m;0;3,1219;10;0,1;TRUE
Jaden Parker;0,3333;3,085;12;0,0833;FALSE
Demarco Lindgren;0,3125;3,5;16;0,0625;FALSE
Germaine Leffler;0,375;3,125;16;0,0625;FALSE
Kelsie Medhurst;0,3333;3,4566;15;0,0667;FALSE
Brooks Kuhn;0,2727;3,0958;11;0,0909;FALSE
Ernesto Barton;0,3571;3,0931;14;0,0714;FALSE
Dallas Volkman;0,2857;3,1281;14;0,0714;FALSE
Rachel Bashirian;0,375;3,3278;16;0,0625;FALSE
 zbucxa;0,2857;2,8074;7;0,1429;TRUE
ltpmzghkxx;0;3,1219;10;0;TRUE
Alexandre Jacobson;0,3889;3,5724;18;0,0556;FALSE
bgtop;0,2;2,3219;5;0;TRUE
